"opr_date","nodename","he01","he02","he03","he04","he05","he06","he07","he08","he09","he10","he11","he12","he13","he14","he15","he16","he17","he18","he19","he20","he21","he22","he23","he24","updated_at"
2024-08-19,IPCO,2098.50,2085.70,2032.90,2115.20,2234.30,2365.00,2534.80,2529.70,2581.50,2699.40,2811.00,2958.70,3071.60,3174.80,3256.80,3355.10,3421.10,3422.80,3407.70,3249.60,3076.80,2834.30,2590.90,2418.20,2024-08-19 07:19:11.857 -0700
2024-08-17,PGE-TAC,11002.60,10693.20,10091.20,9639.80,9558.00,10950.20,9608.00,9776.20,9447.00,8868.10,9759.60,8114.00,8257.00,10116.70,9393.10,11420.70,11285.70,13455.30,14568.10,14689.30,14662.50,12422.80,11589.10,12419.60,2024-08-17 07:19:05.717 -0700
2024-08-17,BANC,1915.65,1810.70,1747.10,1704.65,1708.30,1701.55,1738.50,1850.15,1925.90,2029.90,2150.05,2324.25,2455.40,2624.70,2732.95,2843.20,2820.50,2692.40,2621.15,2487.40,2337.05,2196.45,2034.25,1915.95,2024-08-17 07:19:05.717 -0700
2024-08-19,TEPC,1532.15,1483.35,1397.25,1354.00,1348.30,1401.95,1438.15,1524.60,1594.35,1642.05,1827.55,1982.00,2135.40,2263.40,2341.50,2432.00,2472.00,2433.70,2323.65,2250.90,2135.60,1991.80,1819.55,1695.10,2024-08-19 07:19:11.857 -0700
2024-08-19,PACW,1856.44,1806.33,1747.71,1759.52,1795.68,1944.30,2116.27,2224.67,2286.23,2373.22,2441.40,2497.87,2586.53,2646.36,2693.15,2757.04,2809.50,2860.42,2813.54,2734.64,2674.28,2538.12,2321.01,2134.06,2024-08-19 07:19:11.857 -0700
2024-08-19,PSEI,1973.42,1951.12,1894.86,1869.96,1931.82,2039.41,2167.25,2349.32,2482.54,2598.09,2664.34,2701.03,2745.09,2781.28,2820.59,2865.53,2954.21,3000.46,2982.00,2915.79,2874.18,2772.95,2516.55,2287.98,2024-08-19 07:19:11.857 -0700
2024-08-20,BCHA,5939.30,5709.40,5579.50,5493.40,5524.40,5663.70,6123.00,6639.40,6906.10,7128.50,7221.90,7292.40,7454.30,7503.90,7503.70,7506.40,7604.00,7747.50,7618.50,7503.90,7409.70,7189.30,6724.60,6281.80,2024-08-20 07:19:11.836 -0700
2024-08-20,BANC,1762.95,1647.40,1620.45,1617.95,1679.10,1778.70,1879.80,1939.95,2019.25,2108.20,2281.95,2460.40,2709.75,2905.95,3129.05,3300.90,3352.75,3247.00,3039.15,2903.30,2648.90,2376.95,2122.30,1974.70,2024-08-20 07:19:11.836 -0700
2024-08-20,LADWP,2808.10,2600.60,2527.50,2339.90,2313.40,2380.70,2548.60,2685.00,2863.10,3150.70,3362.30,3611.90,3904.00,4230.70,4466.00,4665.80,4754.60,4723.50,4488.50,4208.40,4041.30,3723.00,3398.10,3084.30,2024-08-20 07:19:11.836 -0700
2024-08-20,SDGE-TAC,2671.98,2522.37,2375.17,2273.76,2184.83,2316.20,2345.66,2436.30,2446.27,2370.89,2331.55,2416.11,2523.66,2787.07,3035.56,3303.39,3388.56,3674.95,3762.91,3697.84,3602.86,3426.98,3083.96,2815.16,2024-08-20 07:19:11.836 -0700
2024-11-17,VEA-TAC,67.80,73.90,82.47,85.40,90.65,100.40,106.63,104.58,91.80,82.70,74.17,63.25,60.13,56.85,54.30,57.42,65.63,71.90,72.55,71.45,71.47,71.47,69.33,69.42,2024-11-17 06:19:10.460 -0800
2024-09-03,SRP,4563.57,4310.90,4154.13,4070.50,4098.92,4163.20,4269.26,4480.83,4719.35,5036.03,5337.10,5815.19,6144.78,6450.45,6636.56,6739.91,6908.64,6838.21,6597.90,6228.15,5901.04,5578.83,5153.45,4711.64,2024-09-03 07:19:10.967 -0700
2024-08-21,SCE-TAC,12604.10,11273.50,11467.00,10956.40,10870.80,11135.10,11525.70,11855.80,12139.90,13500.10,12609.10,13113.50,15850.20,16983.50,17959.50,18785.00,19380.20,19573.90,19167.50,18482.20,17830.20,16865.90,15503.30,14091.90,2024-08-21 07:19:16.846 -0700
2024-08-21,TIDC,351.90,332.20,317.60,312.30,310.70,321.60,343.20,358.70,369.40,381.20,394.30,415.60,447.00,479.00,518.00,541.10,561.80,555.00,536.20,510.90,484.70,451.20,406.90,371.10,2024-08-21 07:19:16.846 -0700
2024-08-21,TPWR,360.80,335.50,329.30,320.50,329.80,358.20,382.70,403.20,426.60,443.30,449.50,458.80,465.00,467.30,472.20,469.90,474.00,479.50,480.90,471.60,473.90,456.80,419.80,386.40,2024-08-21 07:19:16.846 -0700
