"opr_date","trading_hub","renewable_type","market_run_id","he01","he02","he03","he04","he05","he06","he07","he08","he09","he10","he11","he12","he13","he14","he15","he16","he17","he18","he19","he20","he21","he22","he23","he24","he25"
2023-12-06,ZP26,SOLAR,DAM,0,0,0,0,0,0,0,296,976,1395,1436,1403,1387,1368,1184,621,109,0,0,0,0,0,0,0,
2023-12-05,NP15,SOLAR,DAM,0,0,0,0,0,0,0,202,723,1096,1188,1189,1200,1239,1134,636,122,0,0,0,0,0,0,0,
2023-12-05,NP15,WIND,DAM,19,19,19,17,16,18,21,24,29,27,23,22,23,25,27,29,31,34,35,36,42,49,55,60,
2023-12-05,SP15,SOLAR,DAM,0,0,0,0,0,0,216,2969,7110,8951,9190,9159,9160,9088,7753,3825,517,0,0,0,0,0,0,0,
2023-12-05,SP15,WIND,DAM,232,244,255,260,268,281,298,299,278,254,251,237,211,180,151,126,120,131,137,129,116,105,98,88,
2023-12-05,ZP26,SOLAR,DAM,0,0,0,0,0,0,0,250,861,1295,1402,1411,1414,1426,1276,704,137,0,0,0,0,0,0,0,
2023-12-04,NP15,SOLAR,DAM,0,0,0,0,0,0,0,172,642,997,1107,1129,1157,1211,1138,659,128,0,0,0,0,0,0,0,
2023-12-04,NP15,WIND,DAM,130,114,108,102,82,52,35,29,22,17,15,15,16,14,13,14,17,20,23,23,21,20,21,22,
2023-12-04,SP15,SOLAR,DAM,0,0,0,0,0,0,148,1928,4789,6535,7256,7449,7393,7025,5816,2858,403,0,0,0,0,0,0,0,
2023-12-04,SP15,WIND,DAM,309,257,223,175,137,120,113,104,107,107,101,105,109,113,107,92,93,117,144,167,180,182,178,178,
2023-12-04,ZP26,SOLAR,DAM,0,0,0,0,0,0,0,174,637,1042,1210,1244,1255,1261,1131,644,129,0,0,0,0,0,0,0,
2023-12-03,NP15,SOLAR,DAM,0,0,0,0,0,0,0,177,568,796,856,883,873,779,591,303,57,0,0,0,0,0,0,0,
2023-12-03,NP15,WIND,DAM,243,246,245,222,193,174,170,170,168,165,167,174,160,135,122,121,124,126,140,149,144,143,138,116,
2023-12-03,SP15,SOLAR,DAM,0,0,0,0,0,0,281,3114,7069,8715,8905,8782,8635,8243,6634,3089,387,0,0,0,0,0,0,0,
2023-12-03,SP15,WIND,DAM,1542,1434,1405,1384,1278,1139,1040,948,757,499,338,292,296,321,357,395,477,591,662,625,523,435,362,299,
2023-12-03,ZP26,SOLAR,DAM,0,0,0,0,0,0,0,217,688,972,1040,1048,1015,900,672,332,59,0,0,0,0,0,0,0,
2023-12-02,NP15,SOLAR,DAM,0,0,0,0,0,0,0,264,837,1143,1163,1136,1107,1041,860,465,92,0,0,0,0,0,0,0,
2023-12-02,NP15,WIND,DAM,293,232,197,195,192,167,151,156,161,159,164,181,198,212,217,217,224,242,251,242,235,236,238,233,
2023-12-02,SP15,SOLAR,DAM,0,0,0,0,0,0,297,3221,7397,9161,9423,9412,9436,9333,7896,3858,518,0,0,0,0,0,0,0,
2023-12-02,SP15,WIND,DAM,1797,1799,1816,1795,1702,1514,1245,960,719,513,425,472,599,787,971,1239,1525,1702,1776,1771,1709,1561,1380,1283,
2023-12-02,ZP26,SOLAR,DAM,0,0,0,0,0,0,1,309,969,1372,1450,1430,1394,1321,1079,553,102,0,0,0,0,0,0,0,
2023-12-01,NP15,SOLAR,DAM,0,0,0,0,0,0,0,310,1019,1359,1334,1280,1284,1307,1165,639,123,0,0,0,0,0,0,0,
2023-12-01,NP15,WIND,DAM,448,385,356,328,274,239,224,229,225,199,187,203,247,331,437,499,522,520,514,504,479,421,346,282,
2023-12-01,SP15,SOLAR,DAM,0,0,0,0,0,0,276,2981,6963,8851,9265,9308,9326,9225,7875,3911,530,0,0,0,0,0,0,0,
2023-12-01,SP15,WIND,DAM,2955,2924,2852,2752,2674,2621,2591,2571,2516,2418,2284,2163,2167,2274,2380,2414,2363,2327,2295,2224,2137,2076,2017,1977,
2023-12-01,ZP26,SOLAR,DAM,0,0,0,0,0,0,1,282,910,1318,1425,1448,1449,1440,1269,701,139,0,0,0,0,0,0,0,
2023-11-30,NP15,SOLAR,DAM,0,0,0,0,0,0,0,174,623,990,1098,1114,1137,1115,950,516,102,0,0,0,0,0,0,0,
2023-11-30,NP15,WIND,DAM,219,255,265,279,308,304,265,259,278,271,260,290,319,357,423,516,594,636,648,619,586,543,493,448,
2023-11-30,SP15,SOLAR,DAM,0,0,0,0,0,0,257,2344,5182,6442,6715,6679,6547,6238,5085,2500,326,0,0,0,0,0,0,0,
2023-11-30,SP15,WIND,DAM,2789,2801,2783,2747,2683,2580,2499,2504,2559,2665,2752,2819,2931,3103,3114,3111,3017,2942,2882,2894,2951,2971,2926,2875,
2023-11-30,ZP26,SOLAR,DAM,0,0,0,0,0,0,1,191,631,982,1125,1163,1159,1097,904,484,98,0,0,0,0,0,0,0,
2023-11-29,NP15,SOLAR,DAM,0,0,0,0,0,0,0,237,723,1015,1088,1098,1103,1127,1031,586,115,0,0,0,0,0,0,0,
2023-11-29,NP15,WIND,DAM,21,20,23,33,47,56,56,56,59,49,33,26,22,20,17,14,13,17,30,58,101,132,155,186,
2023-11-29,SP15,SOLAR,DAM,0,0,0,0,0,0,271,2672,5894,7326,7548,7482,7430,7240,6085,3001,410,0,0,0,0,0,0,0,
