"asset_xref","schedulingcoordinator_seq","resourcebid_seq","resource_type","resource_xref","resource_mask","dyn_label","gen_type","max_bid","asset_xref","gen_xref","resource_id","classification","qf","resource_agg_type","parent_resource_id","resource_type","gen_unit_name","net_dependable_capacity","nameplate_capacity","pto_area","owner_or_qf","unit_type","energy_source","zone","cod","river_system","baa_id","udc"
1001188,187496,855284,GENERATOR,1000311,855284,,,,1001188,,,,,,,,,,,,,,,,,,,
1001294,438036,729575,GENERATOR,1000994,729575,,,125,1001294,,,,,,,,,,,,,,,,,,,
1001298,865232,250314,GENERATOR,1000849,250314,,,125,1001298,,,,,,,,,,,,,,,,,,,
1001330,575998,704863,GENERATOR,1000204,704863,,,100,1001330,,,,,,,,,,,,,,,,,,,
1001340,968016,262440,GENERATOR,1000080,262440,,,,1001340,,,,,,,,,,,,,,,,,,,
1001364,405116,603095,GENERATOR,1000584,603095,,,,1001364,,,,,,,,,,,,,,,,,,,
1001370,505359,102879,GENERATOR,1000501,102879,ALAMIT_7_ES1,,100.45,1001370,100110,ALAMIT_7_ES1,Participating Unit,N,N,"",GEN,Alamitos Energy Storage,100.45000000000000284,100.00000000000000000,SCE,"AES ES Alamitos, LLC",OTHER,LESR,SP15,"2020-12-04",,CISO,SCE
1001381,784654,121075,GENERATOR,1000283,121075,,,100,1001381,,,,,,,,,,,,,,,,,,,
1001404,419323,199482,GENERATOR,1001286,199482,,,,1001404,,,,,,,,,,,,,,,,,,,
1001420,187496,695464,GENERATOR,1001004,695464,,,131,1001420,,,,,,,,,,,,,,,,,,,
1001425,505359,631172,GENERATOR,1000638,631172,,,230,1001425,,,,,,,,,,,,,,,,,,,
1001443,505359,998964,GENERATOR,1000178,998964,,,115,1001443,,,,,,,,,,,,,,,,,,,
1001450,364625,129148,GENERATOR,1000640,129148,,,,1001450,,,,,,,,,,,,,,,,,,,
1001454,187496,442589,GENERATOR,1000325,442589,,,,1001454,,,,,,,,,,,,,,,,,,,
1001470,414109,428559,GENERATOR,1001888,428559,,,90,1001470,,,,,,,,,,,,,,,,,,,
1001480,917730,968635,GENERATOR,1001975,968635,,,200,1001480,,,,,,,,,,,,,,,,,,,
1001520,205097,186340,GENERATOR,1001454,186340,,,230,1001520,,,,,,,,,,,,,,,,,,,
