"asset_xref","schedulingcoordinator_seq","resourcebid_seq","resource_type"
1000435,725439,163157,GENERATOR
1000436,505359,148307,GENERATOR
1000437,246503,262912,LOAD
1000438,138185,200713,GENERATOR
1000439,242731,493473,LOAD
1000440,219081,844371,GENERATOR
1000441,640802,974145,GENERATOR
1000442,640802,435258,GENERATOR
1000443,139213,271095,GENERATOR
1000444,640802,127137,GENERATOR
1000445,139213,124050,GENERATOR
1000446,293210,701361,GENERATOR
1000447,138185,224218,GENERATOR
1000448,245368,517145,GENERATOR
1000449,187496,771288,GENERATOR
1000450,505359,201525,GENERATOR
1000451,112406,146051,LOAD
1000452,537733,193527,GENERATOR
1000453,106470,202218,INTERTIE
1000454,393170,904345,INTERTIE
1000455,417454,113402,GENERATOR
1000456,505359,140105,GENERATOR
1000457,387291,213366,INTERTIE
1000458,153531,246089,GENERATOR
1000459,172142,101989,GENERATOR
1000460,166634,154612,GENERATOR
1000461,153531,213736,GENERATOR
1000462,139213,119840,GENERATOR
1000463,139213,508671,GENERATOR
1000464,138185,196798,GENERATOR
1000465,735081,915712,GENERATOR
1000466,160711,817770,GENERATOR
1000467,139213,188981,GENERATOR
1000468,542696,951616,LOAD
1000469,171756,167719,GENERATOR
1000470,640802,917872,GENERATOR
1000471,505359,675289,GENERATOR
1000472,187496,918097,INTERTIE
1000473,621200,917893,GENERATOR
1000474,505359,310577,GENERATOR
1000475,139213,104155,GENERATOR
1000476,138185,245316,GENERATOR
1000477,505359,862299,GENERATOR
1000478,138185,544145,GENERATOR
1000479,405116,297766,GENERATOR
1000480,139213,492855,GENERATOR
1000481,907664,777950,GENERATOR
1000482,259501,209827,INTERTIE
1000483,242731,201337,GENERATOR
1000484,139213,153037,GENERATOR
1000485,543855,401586,INTERTIE
1000486,725439,817294,INTERTIE
1000487,187496,100454,GENERATOR
1000488,139213,139242,GENERATOR
1000489,505359,134929,GENERATOR
1000490,900650,397134,GENERATOR
1000491,339577,133667,INTERTIE
1000492,187496,952550,GENERATOR
1000493,245368,187948,GENERATOR
1000494,392309,417420,GENERATOR
1000495,139213,643248,GENERATOR
1000496,139213,327142,GENERATOR
1000497,917730,100651,GENERATOR
1000498,640802,361629,GENERATOR
1000499,476125,589463,INTERTIE
1000500,139213,444308,GENERATOR
1000501,754879,153266,GENERATOR
1000502,505359,150936,INTERTIE
1000503,139213,179172,GENERATOR
1000504,183905,691906,GENERATOR
1000505,187496,132196,GENERATOR
1000506,640802,931363,GENERATOR
1000507,339577,532070,INTERTIE
1000508,621200,146939,GENERATOR
1000509,153531,276445,GENERATOR
1000510,505359,164178,GENERATOR
1000511,153746,644274,GENERATOR
1000512,505359,186392,GENERATOR
1000513,139213,200606,GENERATOR
1000514,505359,914978,GENERATOR
1000515,139213,304325,GENERATOR
1000516,505359,153613,GENERATOR
1000517,139213,149137,GENERATOR
1000518,505359,306602,GENERATOR
1000519,126187,736613,INTERTIE
1000520,725439,213055,GENERATOR
1000521,165869,118774,GENERATOR
1000522,126187,204341,GENERATOR
1000523,167125,185026,INTERTIE
1000524,187496,181027,GENERATOR
1000525,206832,385165,GENERATOR
1000526,187496,259869,GENERATOR
1000527,139213,379813,GENERATOR
1000528,139213,177232,GENERATOR
1000529,307817,148302,INTERTIE
1000530,139213,316580,GENERATOR
1000531,344931,201421,GENERATOR
1000532,505359,135142,GENERATOR
1000533,139213,188719,GENERATOR
1000534,166634,577464,GENERATOR
1000535,139213,607049,GENERATOR
1000536,105582,292532,LOAD
1000537,723920,181907,INTERTIE
1000538,505359,623762,GENERATOR
1000539,153746,301986,GENERATOR
1000540,907664,780329,GENERATOR
1000541,138185,578735,GENERATOR
1000542,139213,487314,GENERATOR
1000543,522779,431692,GENERATOR
1000544,438036,199925,GENERATOR
1000545,139213,901689,GENERATOR
1000546,183056,370756,INTERTIE
1000547,522779,440648,GENERATOR
1000548,786997,196895,GENERATOR
1000549,139213,895511,GENERATOR
1000550,350940,134131,GENERATOR
1000551,139213,272597,GENERATOR
1000552,621200,819306,GENERATOR
1000553,505359,613584,GENERATOR
1000554,621200,156866,LOAD
1000555,505359,441965,GENERATOR
1000556,505359,910655,GENERATOR
1000557,138185,864340,GENERATOR
1000558,139213,186841,GENERATOR
1000559,195008,207461,LOAD
