"resource_xref","resource_mask","dyn_label","gen_type","max_bid"
1000670,629486,,,
1000671,208828,,,
1000674,817294,,,
1000676,154940,,,
1000528,135963,,SOLAR,300
1000593,961257,,SOLAR,165
1000615,130317,,,85
1000667,160098,COLTON_6_AGUAM1,,
1000641,153860,,,300
1000477,284094,,,230
1000533,117281,,,139
1000583,105465,,,126.35
1000621,146716,,,105
1000508,410177,,,100
1000511,259869,,,49.9
1000536,118390,,,49
1000490,939948,,SOLAR,
1000545,922006,,SOLAR,
1000551,142476,,SOLAR,
1000673,603185,,SOLAR,
1000554,731498,,SOLAR,
1000464,850944,,SOLAR,
1000547,181364,,SOLAR,
1000509,155124,,SOLAR,
1000625,206925,,SOLAR,
1000678,376549,,SOLAR,
1000595,316580,,SOLAR,
1000633,851181,,SOLAR,
1000467,592012,,SOLAR,
1000512,198136,,SOLAR,
1000568,453728,,SOLAR,
1000517,764615,,SOLAR,
1000656,380369,,SOLAR,
1000622,115844,,SOLAR,
1000479,641860,,SOLAR,
1000539,205660,,SOLAR,
1000645,531863,,SOLAR,
1000553,188953,ARCOGN_2_UNITS,,305
1000638,631172,,,230
1000481,199688,,SOLAR,200
1000503,970587,,,123.22
1000612,362805,,,112
1000538,388159,,,111.3
1000657,345990,,,96.61
1000516,139204,,SOLAR,100
1000635,182435,,,99.92
1000478,195874,,,97.54
1000672,495058,,,97.32
1000522,389995,,,84.37
1000605,142584,,,82
1000565,844979,,,75
1000628,962064,,,75
1000466,113373,,,72
1000527,484091,,,72
1000484,206601,,,63
1000575,917893,,,60
1000579,140316,,,60
1000474,174744,,,55
1000679,948963,,,
1000680,192712,,,
1000681,772243,,,
1000682,188767,,,
1000684,963357,,,
1005541,610706,,,
1004982,217668,,,
1004983,561198,,,
1000691,687240,,,
1000692,124287,,,
1000693,583984,,,
1000695,445995,,,
1000697,584525,,,
1000699,910464,,,
1000700,107674,,,
1000701,376200,,,
1000703,478296,,,
1004984,273310,,,
1000706,141013,,,
1005542,171081,,,
1000708,379476,,,
1000711,155502,,,
1000712,213484,,,
1004985,723658,,,
1000714,932153,,,
1000715,174366,,,
1000716,145561,,,
1004986,748963,,,
1000718,141402,,,
1000720,524179,,,
1000742,844371,ELKHIL_2_PL1X3,,551.7
1005543,195913,,,
1000723,190607,,,
1005544,132838,,,
1000725,294553,,,
1000726,415983,,,
1005545,594567,,,
1000730,602281,,,
1000731,164086,,,
1000732,213734,,,
1000772,418764,LAPLMA_2_UNIT 3,,265
1000736,204091,,,
1000738,163157,,,
1000740,700502,,,
1000741,296497,,,
1000694,106181,OCTILO_5_WIND,,265
1000729,165806,PNCHPP_1_PL1X2,,119.91
1005546,176686,,,
1000746,148629,,,
1000846,146939,DRACKR_2_SOLAR1,SOLAR,110
1005547,364269,,,
1000749,102898,,,
1000751,260947,,,
1000752,181128,,,
1000754,160554,,,
1005548,212392,,,
1005549,906248,,,
1000757,303460,,,
1000758,200469,,,
1000759,670459,,,
1000760,193756,,,
1000762,100949,,,
1005550,400641,,,
1000764,192081,,,
1005551,153250,,,
1005552,109977,,,
1000769,134131,,,
1000773,628139,,,
1000774,246186,,,
1005553,500820,,,
1000776,213736,,,
1000777,265407,,,
1000778,169572,,,
1000779,589463,,,
1000781,111458,,,
1000782,197582,,,
1000784,492199,,,
1000785,289483,,,
1000787,451866,,,
1000788,570812,,,
